BREAKDOWN,BREAKDOWN_GROUP_1,BREAKDOWN_GROUP_2,TOTAL_COST
Gender and Age Group,Female,95 years or older,725
Gender and Age Group,Male,0 years,1415
Gender and Age Group,Male,01-04 years,4425
Gender and Age Group,Male,05-09 years,2905
Gender and Age Group,Male,10-14 years,3730
Gender and Age Group,Male,15-19 years,3665
Gender and Age Group,Male,20-24 years,3855
Gender and Age Group,Male,25-29 years,4040
Gender and Age Group,Male,30-34 years,3780
Gender and Age Group,Male,35-39 years,3055
Gender and Age Group,Male,40-44 years,2755
Gender and Age Group,Male,45-49 years,3015
Gender and Age Group,Male,50-54 years,3460
Gender and Age Group,Male,55-59 years,3375
Gender and Age Group,Male,60-64 years,2920
Gender and Age Group,Male,65-69 years,3010
Gender and Age Group,Male,70-74 years,3300
Gender and Age Group,Male,75-79 years,3105
Gender and Age Group,Male,80-84 years,2910
Gender and Age Group,Male,85-89 years,2185
Gender and Age Group,Male,90-94 years,1085
Gender and Age Group,Male,95 years or older,225
Gender and Age Group,Female,0 years,201592
Gender and Age Group,Female,01-04 years,685303
Gender and Age Group,Female,05-09 years,542262
Gender and Age Group,Female,10-14 years,736969
Gender and Age Group,Female,15-19 years,935378
Gender and Age Group,Female,20-24 years,986552
Gender and Age Group,Female,25-29 years,957127
Gender and Age Group,Female,30-34 years,819566
Gender and Age Group,Female,35-39 years,701433
Gender and Age Group,Female,40-44 years,584868
Gender and Age Group,Female,45-49 years,728111
Gender and Age Group,Female,50-54 years,825090
Gender and Age Group,Female,55-59 years,766882
Gender and Age Group,Female,60-64 years,637031
Gender and Age Group,Female,65-69 years,645243
Gender and Age Group,Female,70-74 years,763279
Gender and Age Group,Female,75-79 years,793600
Gender and Age Group,Female,80-84 years,772668
Gender and Age Group,Female,85-89 years,678254
Gender and Age Group,Female,90-94 years,430951
Gender and Age Group,Female,95 years or older,163409
Gender and Age Group,Male,0 years,273883
Gender and Age Group,Male,01-04 years,893431
Gender and Age Group,Male,05-09 years,625715
Gender and Age Group,Male,10-14 years,866620
Gender and Age Group,Male,15-19 years,850351
Gender and Age Group,Male,20-24 years,881026
Gender and Age Group,Male,25-29 years,911704
Gender and Age Group,Male,30-34 years,851999
Gender and Age Group,Male,35-39 years,684391
Gender and Age Group,Male,40-44 years,617211
Gender and Age Group,Male,45-49 years,677095
Gender and Age Group,Male,50-54 years,781037
Gender and Age Group,Male,55-59 years,758398
Gender and Age Group,Male,60-64 years,655857
Gender and Age Group,Male,65-69 years,670515
Gender and Age Group,Male,70-74 years,735224
Gender and Age Group,Male,75-79 years,687374
Gender and Age Group,Male,80-84 years,678615
Gender and Age Group,Male,85-89 years,480562
Gender and Age Group,Male,90-94 years,238553
Gender and Age Group,Male,95 years or older,50067
Gender and Age Group,Female,0 years,2480
Gender and Age Group,Female,01-04 years,4615
Gender and Age Group,Female,05-09 years,2935
Gender and Age Group,Female,10-14 years,2505
Gender and Age Group,Female,15-19 years,3040
Gender and Age Group,Female,20-24 years,5905
Gender and Age Group,Female,25-29 years,7325
Gender and Age Group,Female,30-34 years,6725
Gender and Age Group,Female,35-39 years,5940
Gender and Age Group,Female,40-44 years,4900
Gender and Age Group,Female,45-49 years,5170
Gender and Age Group,Female,50-54 years,6015
Gender and Age Group,Female,55-59 years,5565
Gender and Age Group,Female,60-64 years,5030
Gender and Age Group,Female,65-69 years,4460
Gender and Age Group,Female,70-74 years,4335
Gender and Age Group,Female,75-79 years,3985
Gender and Age Group,Female,80-84 years,3550
Gender and Age Group,Female,85-89 years,2675
Gender and Age Group,Female,90-94 years,1575
Gender and Age Group,Female,95 years or older,550
Gender and Age Group,Male,0 years,2725
Gender and Age Group,Male,01-04 years,5855
Gender and Age Group,Male,05-09 years,3635
Gender and Age Group,Male,10-14 years,3295
Gender and Age Group,Male,15-19 years,2580
Gender and Age Group,Male,20-24 years,4350
Gender and Age Group,Male,25-29 years,6120
Gender and Age Group,Male,30-34 years,6170
Gender and Age Group,Male,35-39 years,5925
Gender and Age Group,Male,40-44 years,5380
Gender and Age Group,Male,45-49 years,5225
Gender and Age Group,Male,50-54 years,5845
Gender and Age Group,Male,55-59 years,5305
Gender and Age Group,Male,60-64 years,4840
Gender and Age Group,Male,65-69 years,4325
Gender and Age Group,Male,70-74 years,4190
Gender and Age Group,Male,75-79 years,3950
Gender and Age Group,Male,80-84 years,3265
Gender and Age Group,Male,85-89 years,2150
Gender and Age Group,Male,90-94 years,975
Gender and Age Group,Male,95 years or older,435
Gender and Age Group,Female,0 years,451603
Gender and Age Group,Female,01-04 years,1040013
Gender and Age Group,Female,05-09 years,665687
Gender and Age Group,Female,10-14 years,567063
Gender and Age Group,Female,15-19 years,724833
Gender and Age Group,Female,20-24 years,1312453
Gender and Age Group,Female,25-29 years,1635494
Gender and Age Group,Female,30-34 years,1468376
Gender and Age Group,Female,35-39 years,1337921
Gender and Age Group,Female,40-44 years,1130978
Gender and Age Group,Female,45-49 years,1245262
Gender and Age Group,Female,50-54 years,1443898
Gender and Age Group,Female,55-59 years,1325076
Gender and Age Group,Female,60-64 years,1222403
Gender and Age Group,Female,65-69 years,1116076
Gender and Age Group,Female,70-74 years,1170501
Gender and Age Group,Female,75-79 years,1186616
Gender and Age Group,Female,80-84 years,1076824
Gender and Age Group,Female,85-89 years,859983
Gender and Age Group,Female,90-94 years,544326
Gender and Age Group,Female,95 years or older,186003
Gender and Age Group,Female,Unknown,183
Gender and Age Group,Male,0 years,500777
Gender and Age Group,Male,01-04 years,1341352
Gender and Age Group,Male,05-09 years,809254
Gender and Age Group,Male,10-14 years,764218
Gender and Age Group,Male,15-19 years,715464
Gender and Age Group,Male,20-24 years,1096285
Gender and Age Group,Male,25-29 years,1465874
Gender and Age Group,Male,30-34 years,1424347
Gender and Age Group,Male,35-39 years,1399502
Gender and Age Group,Male,40-44 years,1263350
Gender and Age Group,Male,45-49 years,1270966
Gender and Age Group,Male,50-54 years,1496943
Gender and Age Group,Male,55-59 years,1367493
Gender and Age Group,Male,60-64 years,1263311
Gender and Age Group,Male,65-69 years,1192771
Gender and Age Group,Male,70-74 years,1208402
Gender and Age Group,Male,75-79 years,1197613
Gender and Age Group,Male,80-84 years,1002539
Gender and Age Group,Male,85-89 years,688348
Gender and Age Group,Male,90-94 years,322029
Gender and Age Group,Male,95 years or older,139483
Gender and Age Group,Female,0 years,1525
Gender and Age Group,Female,01-04 years,4005
Gender and Age Group,Female,05-09 years,2760
Gender and Age Group,Female,10-14 years,3140
Gender and Age Group,Female,15-19 years,4605
Gender and Age Group,Female,20-24 years,5220
Gender and Age Group,Female,25-29 years,4800
Gender and Age Group,Female,30-34 years,4340
Gender and Age Group,Female,35-39 years,3665
Gender and Age Group,Female,40-44 years,3180
Gender and Age Group,Female,45-49 years,3610
Gender and Age Group,Female,50-54 years,3965
Gender and Age Group,Female,55-59 years,3965
Gender and Age Group,Female,60-64 years,3380
Gender and Age Group,Female,65-69 years,3565
Gender and Age Group,Female,70-74 years,4735
Gender and Age Group,Female,75-79 years,4715
Gender and Age Group,Female,80-84 years,4795
Gender and Age Group,Female,85-89 years,4260
Gender and Age Group,Female,90-94 years,3030
Gender and Age Group,Female,95 years or older,1085
Gender and Age Group,Male,0 years,1870
Gender and Age Group,Male,01-04 years,5200
Gender and Age Group,Male,05-09 years,3300
Gender and Age Group,Male,10-14 years,3835
Gender and Age Group,Male,15-19 years,3615
Gender and Age Group,Male,20-24 years,3930
Gender and Age Group,Male,25-29 years,3980
Gender and Age Group,Male,30-34 years,3980
Gender and Age Group,Male,35-39 years,3580
Gender and Age Group,Male,40-44 years,3185
Gender and Age Group,Male,45-49 years,3580
Gender and Age Group,Male,50-54 years,4070
Gender and Age Group,Male,55-59 years,3895
Gender and Age Group,Male,60-64 years,3710
Gender and Age Group,Male,65-69 years,3525
Gender and Age Group,Male,70-74 years,4575
Gender and Age Group,Male,75-79 years,4350
Gender and Age Group,Male,80-84 years,3980
Gender and Age Group,Male,85-89 years,3395
Gender and Age Group,Male,90-94 years,1720
Gender and Age Group,Male,95 years or older,475
Gender and Age Group,Female,0 years,152153
Gender and Age Group,Female,01-04 years,403152
Gender and Age Group,Female,05-09 years,299541
Gender and Age Group,Female,10-14 years,361452
Gender and Age Group,Female,15-19 years,572919
Gender and Age Group,Female,20-24 years,685760
Gender and Age Group,Female,25-29 years,653970
Gender and Age Group,Female,30-34 years,586937
Gender and Age Group,Female,35-39 years,508035
Gender and Age Group,Female,40-44 years,443068
Gender and Age Group,Female,45-49 years,519168
Gender and Age Group,Female,50-54 years,576645
Gender and Age Group,Female,55-59 years,580325
Gender and Age Group,Female,60-64 years,515420
Gender and Age Group,Female,65-69 years,569377
Gender and Age Group,Female,70-74 years,780443
Gender and Age Group,Female,75-79 years,818823
Gender and Age Group,Female,80-84 years,872811
Gender and Age Group,Female,85-89 years,814357
Gender and Age Group,Female,90-94 years,598030
Gender and Age Group,Female,95 years or older,214576
Gender and Age Group,Male,0 years,185960
Gender and Age Group,Male,01-04 years,520234
Gender and Age Group,Male,05-09 years,350758
Gender and Age Group,Male,10-14 years,444778
Gender and Age Group,Male,15-19 years,445965
Gender and Age Group,Male,20-24 years,494340
Gender and Age Group,Male,25-29 years,505746
Gender and Age Group,Male,30-34 years,520293
Gender and Age Group,Male,35-39 years,467900
Gender and Age Group,Male,40-44 years,438857
Gender and Age Group,Male,45-49 years,501175
Gender and Age Group,Male,50-54 years,580299
Gender and Age Group,Male,55-59 years,572356
Gender and Age Group,Male,60-64 years,553240
Gender and Age Group,Male,65-69 years,570515
Gender and Age Group,Male,70-74 years,754669
Gender and Age Group,Male,75-79 years,754051
Gender and Age Group,Male,80-84 years,717647
Gender and Age Group,Male,85-89 years,634296
Gender and Age Group,Male,90-94 years,328704
Gender and Age Group,Male,95 years or older,91976
Gender and Age Group,Female,0 years,179975
Gender and Age Group,Female,01-04 years,166080
Gender and Age Group,Female,05-09 years,119129
Gender and Age Group,Female,10-14 years,116854
Gender and Age Group,Female,15-19 years,220700
Gender and Age Group,Female,20-24 years,417022
Gender and Age Group,Female,25-29 years,604916
Gender and Age Group,Female,30-34 years,659361
Gender and Age Group,Female,35-39 years,521586
Gender and Age Group,Female,40-44 years,373350
Gender and Age Group,Female,45-49 years,418570
Gender and Age Group,Female,50-54 years,504566
Gender and Age Group,Female,55-59 years,591516
Gender and Age Group,Female,60-64 years,546883
Gender and Age Group,Female,65-69 years,593173
Gender and Age Group,Female,70-74 years,745088
Gender and Age Group,Female,75-79 years,716489
Gender and Age Group,Female,80-84 years,701215
Gender and Age Group,Female,85-89 years,575906
Gender and Age Group,Female,90-94 years,326043
Gender and Age Group,Female,95 years or older,116671
Gender and Age Group,Female,Unknown,2606
Gender and Age Group,Male,0 years,231010
Gender and Age Group,Male,01-04 years,227129
Gender and Age Group,Male,05-09 years,150286
Gender and Age Group,Male,10-14 years,124152
Gender and Age Group,Male,15-19 years,138695
Gender and Age Group,Male,20-24 years,165402
Gender and Age Group,Male,25-29 years,201294
Gender and Age Group,Male,30-34 years,228088
Gender and Age Group,Male,35-39 years,250474
Gender and Age Group,Male,40-44 years,265449
Gender and Age Group,Male,45-49 years,345386
Gender and Age Group,Male,50-54 years,449294
Gender and Age Group,Male,55-59 years,597189
Gender and Age Group,Male,60-64 years,591735
Gender and Age Group,Male,65-69 years,671518
Gender and Age Group,Male,70-74 years,833479
Gender and Age Group,Male,75-79 years,762975
Gender and Age Group,Male,80-84 years,679676
Gender and Age Group,Male,85-89 years,476440
Gender and Age Group,Male,90-94 years,211073
Gender and Age Group,Male,95 years or older,52974
Gender and Age Group,Male,Unknown,1027
Gender and Age Group,Female,0 years,249777364
Gender and Age Group,Female,01-04 years,217088967
Gender and Age Group,Female,05-09 years,177517727
Gender and Age Group,Female,10-14 years,216733472
Gender and Age Group,Female,15-19 years,320270378
Gender and Age Group,Female,20-24 years,601289475
Gender and Age Group,Female,25-29 years,972425428
Gender and Age Group,Female,30-34 years,1135682570
Gender and Age Group,Female,35-39 years,867881312
Gender and Age Group,Female,40-44 years,553715117
Gender and Age Group,Female,45-49 years,603048703
Gender and Age Group,Female,50-54 years,754837522
Gender and Age Group,Female,55-59 years,847924810
Gender and Age Group,Female,60-64 years,877315570
Gender and Age Group,Female,65-69 years,991517578
Gender and Age Group,Female,70-74 years,1281142417
Gender and Age Group,Female,75-79 years,1289140495
Gender and Age Group,Female,80-84 years,1349578327
Gender and Age Group,Female,85-89 years,1185018283
Gender and Age Group,Female,90-94 years,704541247
Gender and Age Group,Female,95 years or older,255392422
Gender and Age Group,Female,Unknown,4660767
Gender and Age Group,Male,0 years,324223190
Gender and Age Group,Male,01-04 years,294910749
Gender and Age Group,Male,05-09 years,227643006
Gender and Age Group,Male,10-14 years,227920738
Gender and Age Group,Male,15-19 years,236394220
Gender and Age Group,Male,20-24 years,244330615
Gender and Age Group,Male,25-29 years,288740865
Gender and Age Group,Male,30-34 years,316268019
Gender and Age Group,Male,35-39 years,354154798
Gender and Age Group,Male,40-44 years,387154627
Gender and Age Group,Male,45-49 years,524862509
Gender and Age Group,Male,50-54 years,723066778
Gender and Age Group,Male,55-59 years,932563200
Gender and Age Group,Male,60-64 years,1031083117
Gender and Age Group,Male,65-69 years,1188794886
Gender and Age Group,Male,70-74 years,1482408081
Gender and Age Group,Male,75-79 years,1378990921
Gender and Age Group,Male,80-84 years,1274704997
Gender and Age Group,Male,85-89 years,940697208
Gender and Age Group,Male,90-94 years,432169323
Gender and Age Group,Male,95 years or older,109644790
Gender and Age Group,Male,Unknown,1482528
Gender and Age Group,Female,0 years,32320
Gender and Age Group,Female,01-04 years,26440
Gender and Age Group,Female,05-09 years,21585
Gender and Age Group,Female,10-14 years,20130
Gender and Age Group,Female,15-19 years,33630
Gender and Age Group,Female,20-24 years,65515
Gender and Age Group,Female,25-29 years,107275
